epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,403.684,1.62786,2.77082,0.91233,0.00051,0.00497,0.00028,0.0001,1.57978,3.86518,0.88859,0.000405983,0.000405983,0.000405983
2,813.786,1.51205,1.3464,0.88271,0.03317,0.32907,0.16003,0.06409,1.6806,2.79264,0.8715,0.000806361,0.000806361,0.000806361
3,1202.59,1.40915,1.19438,0.86518,0.85661,0.21206,0.23957,0.12663,1.30966,1.73543,0.85746,0.00119024,0.00119024,0.00119024
4,1613.15,1.33519,1.09259,0.86045,0.86078,0.24889,0.25933,0.15481,1.20048,1.24115,0.85088,0.00117575,0.00117575,0.00117575
5,2027.85,1.43475,1.09075,0.85827,0.87126,0.26305,0.29764,0.18385,1.20899,1.06038,0.86029,0.001151,0.001151,0.001151
6,2411.84,1.40956,1.03593,0.86245,0.56693,0.31247,0.3369,0.20817,1.22652,0.95237,0.85244,0.00112625,0.00112625,0.00112625
7,2829.66,1.33569,0.97539,0.84808,0.67926,0.35953,0.38114,0.243,1.16453,0.87499,0.84625,0.0011015,0.0011015,0.0011015
8,3227.39,1.27244,0.91518,0.85292,0.6055,0.46095,0.41292,0.26269,1.0922,0.84302,0.85274,0.00107675,0.00107675,0.00107675
9,3614.83,1.22014,0.87642,0.84996,0.80586,0.48115,0.54435,0.33262,1.0598,0.81478,0.84161,0.001052,0.001052,0.001052
